Object Number	Is Public Domain	Department	Object Name	Title	Culture	Artist Role	Artist Prefix	Artist Display Name	Artist Suffix	Artist Alpha Sort	Artist Nationality	Artist Begin Date	Artist End Date	Object Date	Object Begin Date	Object End Date	Medium	Dimensions	Credit Line	Acquisition Date	City	State	County	Country	Region	Classification	Rights and Reproduction	Link Resource	Repository
56.11.1	True	Greek and Roman Art	Lekythos	Terracotta lekythos (oil flask)	Greek, Attic		Attributed to the	Amasis Painter		Amasis Painter				ca. 550–530 B.C.	-550	-530	Terracotta	H. 6 7/8 in. (17.5 cm)	Purchase, Walter C. Baker Gift, 1956							Vases		http://www.metmuseum.org/art/collection/search/254843	Metropolitan Museum of Art, New York, NY
56.171.38	True	Greek and Roman Art	Amphora	Terracotta amphora (jar)	Greek, Attic		Attributed to the	Berlin Painter		Berlin Painter				ca. 490 B.C.	-490	-490	Terracotta	H. 16 5/16 in. (41.50 cm)	Fletcher Fund, 1956							Vases		http://www.metmuseum.org/art/collection/search/254896	Metropolitan Museum of Art, New York, NY
56.171.64	True	Greek and Roman Art	Situla	Terracotta situla (bucket)	Greek, South Italian, Apulian		Attributed to the	Lycurgus Painter		Lycurgus Painter				ca. 360–340 B.C.	-360	-340	Terracotta	H. 10 11/16 in. (27.1 cm)	Fletcher Fund, 1956							Vases		http://www.metmuseum.org/art/collection/search/254923	Metropolitan Museum of Art, New York, NY
62.11.1	True	Greek and Roman Art	Phiale	Gold phiale (libation bowl)	Greek									4th–3rd century B.C.	-399	-200	Gold	H. 1 7/16 in. (3.6 cm); diameter  9 1/4 in. (23.5 cm)	Rogers Fund, 1962							Gold, Silver		http://www.metmuseum.org/art/collection/search/255122	Metropolitan Museum of Art, New York, NY
63.11.6	True	Greek and Roman Art	Amphora, Type A	Terracotta amphora (jar)	Greek, Attic	||	Signed by|Attributed to the|Attributed to the	Andokides|Andokides Painter|Lysippides Painter	as potter|for red-figure decoration|for black-figure decoration	Andokides|Andokides Painter|Lysippides Painter				ca. 530 B.C.	-530	-530	Terracotta	H. 22 5/8 in. (57.5 cm)	Purchase, Joseph Pulitzer Bequest, 1963							Vases		http://www.metmuseum.org/art/collection/search/255154	Metropolitan Museum of Art, New York, NY
68.148	True	Greek and Roman Art	Statuette of a woman	Marble female figure	Cycladic		Attributed to the	Bastis Master		Bastis Master				2600–2400 B.C.	-2600	-2400	Marble	H. 24 3/4 in. (62.79 cm)	Gift of Christos G. Bastis, 1968							Stone Sculpture		http://www.metmuseum.org/art/collection/search/255275	Metropolitan Museum of Art, New York, NY
1972.11.1	True	Greek and Roman Art	Statuette of an artisan, hunchback	Bronze statuette of an artisan with silver eyes	Greek									ca. mid-1st century B.C.	-60	-40	Bronze, silver	15 7/8 × 5 1/8 × 4 1/4 in., 15 lb. (40.3 × 13 × 10.8 cm, 6.8 kg)	Rogers Fund, 1972							Bronzes		http://www.metmuseum.org/art/collection/search/255344	Metropolitan Museum of Art, New York, NY
1972.118.54	True	Greek and Roman Art	Head of a griffin from a cauldron	Bronze head of a griffin	Greek									third quarter of the 7th century B.C.	-675	-625	Bronze	H. 10 3/16 in. (25.8 cm)	Bequest of Walter C. Baker, 1971							Bronzes		http://www.metmuseum.org/art/collection/search/255367	Metropolitan Museum of Art, New York, NY
1972.118.78	True	Greek and Roman Art	Mirror with a support in the form of a draped woman	Bronze mirror with a support in the form of a draped woman	Greek, Argive									mid-5th century B.C.	-460	-450	Bronze	H. 15 15/16 in. (40.41 cm)	Bequest of Walter C. Baker, 1971							Bronzes		http://www.metmuseum.org/art/collection/search/255391	Metropolitan Museum of Art, New York, NY
1972.118.95	True	Greek and Roman Art	Statuette of a veiled and masked dancer	Bronze statuette of a veiled and masked dancer	Greek									3rd–2nd century B.C.	-299	-100	Bronze	8 1/16 × 3 1/2 × 4 1/2 in., 65.6oz. (20.5 × 8.9 × 11.4 cm, 4.1 lb.)	Bequest of Walter C. Baker, 1971							Bronzes		http://www.metmuseum.org/art/collection/search/255408	Metropolitan Museum of Art, New York, NY
1972.118.104	True	Greek and Roman Art	Statuette of a woman, steatopygous	Marble female figure	Cycladic									4500–4000 B.C.	-4999	-4000	Marble	H. 8 7/16 in. (21.4 cm)	Bequest of Walter C. Baker, 1971							Stone Sculpture		http://www.metmuseum.org/art/collection/search/255417	Metropolitan Museum of Art, New York, NY
1989.281.72	True	Greek and Roman Art	Lekythos	Terracotta lekythos (oil flask)	Greek, Attic		Attributed to the	Achilles Painter		Achilles Painter				ca. 440 B.C.	-440	-440	Terracotta	H. 14 3/4 in. (37.39 cm)	Gift of Norbert Schimmel Trust, 1989							Vases		http://www.metmuseum.org/art/collection/search/255949	Metropolitan Museum of Art, New York, NY
1990.247	True	Greek and Roman Art	"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")"	"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")"	Roman		Restored by	Pacetti, Vincenzo		Pacetti, Vincenzo				27 B.C.–A.D. 68	-27	68	Marble	H. 82 3/4 in. (210.2 cm)	"Gift of The Frederick W. Richmond Foundation, Judy and Michael Steinhardt, and Mr. and Mrs. A. Alfred Taubman, 1990

The cleaning and restoration of this sculpture was made possible by a generous grant from the Edward John Noble Foundation, Inc"							Stone Sculpture		http://www.metmuseum.org/art/collection/search/255973	Metropolitan Museum of Art, New York, NY
1992.11.70	True	Greek and Roman Art	Stand for a basin	Porphyry support for a water basin	Roman									2nd century A.D.	100	199	Porphyry	"H. 30 in. (76.2 cm)
width  58 1/4 in. (148 cm) 
Weight approx. 900 lbs"	Harris Brisbane Dick Fund, 1992							Stone Sculpture		http://www.metmuseum.org/art/collection/search/256126	Metropolitan Museum of Art, New York, NY
1994.43.1, .2	True	Greek and Roman Art	Skyphoi with Erotes, pair	Pair of silver scyphi (cups) with relief decoration	Roman									late 1st century B.C.–early 1st century A.D.	-50	50	Silver with gilding	"Overall: 3 3/4 x 8 1/8in. (9.5 x 20.6cm)
diameter of bowl  5in. (12.7cm)"	Purchase, Marguerite and Frank A. Cosgrove Jr. Fund and Lila Acheson Wallace Gift, 1994							Gold, Silver		http://www.metmuseum.org/art/collection/search/256184	Metropolitan Museum of Art, New York, NY
1995.19	True	Greek and Roman Art	Shell	Marble shell	Greek									ca. 400 B.C.	-450	-400	Marble	Overall: 9 1/2 x 6 in. (24.1 x 15.2 cm)	Purchase, Mr. and Mrs. John Moscahlaidis Gift, 1995							Miscellaneous, Stone, Miscellaneous, Stone Vases		http://www.metmuseum.org/art/collection/search/256205	Metropolitan Museum of Art, New York, NY
2010.26	True	Greek and Roman Art	Statue group of the Three Graces	Marble Statue Group of the Three Graces	Roman									2nd century A.D.	100	199	Marble	Overall: 48 7/16 x 39 3/8in. (123 x 100cm)	Purchase, Philodoroi, Lila Acheson Wallace, Mary and Michael Jaharis, Annette and Oscar de la Renta, Leon Levy Foundation, The Robert A. and Renée E. Belfer Family Foundation, Mr. and Mrs. John A. Moran, Jeannette and Jonathan Rosen, Malcolm Hewitt Wiener Foundation and Nicholas S. Zoullas Gifts, 2010							Stone Sculpture		http://www.metmuseum.org/art/collection/search/256403	Metropolitan Museum of Art, New York, NY
2004.363.1	True	Greek and Roman Art	Kernos	Terracotta kernos (vase for multiple offerings)	Cycladic									ca. 2300–2200 B.C.	-2300	-2200	Terracotta	"Overall: 13 5/8 in. (34.6 cm)
Other: 14in. (35.5cm)"	Purchase, The Annenberg Foundation Gift, 2004							Vases		http://www.metmuseum.org/art/collection/search/256548	Metropolitan Museum of Art, New York, NY
1997.145.3	True	Greek and Roman Art	Plaque of Mithras killing the bull	Bronze plaque of Mithras slaying the bull	Roman									mid-2nd–early 3rd century A.D.	130	220	Bronze	Overall: 14 x 11 5/8 x 1 3/4 in. (35.6 x 29.5 x 4.4 cm)	Gift of Mr. and Mrs. Klaus G. Perls, 1997							Bronzes		http://www.metmuseum.org/art/collection/search/256570	Metropolitan Museum of Art, New York, NY
1997.36	True	Greek and Roman Art	Dinos	Terracotta dinos (mixing bowl)	Greek, Corinthian		Attributed to the	Polyteleia Painter		Polyteleia Painter				ca. 630–615 B.C.	-630	-615	Terracotta	H. 7 1/4 in. (18.4 cm); diameter 12 in. (30.5 cm)	The Bothmer Purchase Fund and Louis V. Bell Fund, 1997							Vases		http://www.metmuseum.org/art/collection/search/256846	Metropolitan Museum of Art, New York, NY
1997.145.1	True	Greek and Roman Art	Tripod	Bronze rod tripod stand	Greek									early 6th century B.C.	-599	-575	Bronze	Overall: 29 5/8 x 17 1/2 in. (75.2 x 44.5 cm)	Gift of Mr. and Mrs. Klaus G. Perls, 1997							Bronzes		http://www.metmuseum.org/art/collection/search/256861	Metropolitan Museum of Art, New York, NY
1999.209	True	Greek and Roman Art	Armband	Gold armband with Herakles knot	Greek									3rd–2nd century B.C.	-299	-100	Gold inlaid with garnets, emeralds, and enamel	3 1/2in. (8.9cm)	Purchase, Mr. and Mrs. Christos G. Bastis Gift, 1999							Gold, Silver		http://www.metmuseum.org/art/collection/search/256970	Metropolitan Museum of Art, New York, NY
11.185a–d, f, g, x	True	Greek and Roman Art	Grave stele of a youth and a little girl with finial in the form of a sphinx	Marble stele (grave marker) of a youth and little girl with capital and finial in the form of a sphinx	Greek, Attic									ca. 530 B.C.	-530	-530	Marble	total H. 13 ft. 10 11/16 in. (423.4 cm)	Frederick C. Hewitt Fund, 1911; Rogers Fund, 1921; Munsey Funds, 1936, 1938; and Anonymous Gift, 1951							Stone Sculpture		http://www.metmuseum.org/art/collection/search/256974	Metropolitan Museum of Art, New York, NY
37.11.8–.17	True	Greek and Roman Art	Ganymede Jewelry	Ganymede jewelry	Greek									ca. 330–300 B.C.	-330	-300	Gold, rock crystal, emerald	length of necklace 13 in. (33 cm); H. of earrings  2 3/8 in. (6 cm); width of bracelets  3 1/8 in. (8 cm); width of fibulae  1 15/16 in. (5 cm); H. of ring  13/16 in. (2.1 cm)	Harris Brisbane Dick Fund, 1937							Gold, Silver		http://www.metmuseum.org/art/collection/search/256975	Metropolitan Museum of Art, New York, NY
40.11.7–.18	True	Greek and Roman Art	Set of jewelry	Set of jewelry	Etruscan									early 5th century B.C.	-499	-475	Gold, glass, rock crystal, agate, carnelian	L. of necklace 14 3/16 in. (36 cm); D. of disks 2 7/16 in. (6.1 cm); L. of fibula 1 15/16 in. (5 cm); L. of fibulae 1 5/8 in. (4.1 cm); L. of pin 2 7/8 in. (7.3 cm); D. of ring with youth intaglio 7/8 in. (2.2 cm); D. of ring with Herakles intaglio 15/16 in. (2.4 cm); D. of ring with bird intaglio 1 1/16 in. (2.7 cm); D. of plain ring 31/32 (2.45 cm); D. of ring with lion intaglio 7/8 in. (2.2 cm)	Harris Brisbane Dick Fund, 1940							Gold, Silver		http://www.metmuseum.org/art/collection/search/256976	Metropolitan Museum of Art, New York, NY
1989.281.45a, b–.48	True	Greek and Roman Art	Vases, group of four	Group of four vases	Northwest Anatolian									ca. 2300–2000 B.C.	-2300	-2000	Electrum, gilded silver, silver	"H. of vase with lid  9 13/16 in. (25 cm)
H. of cup  3 1/8 in. (7.9 cm)
diameter of phiale  5 1/16 in. (12.9 cm)
H. of beaker  4 1/4 in. (10.8 cm)"	Gift of Norbert Schimmel Trust, 1989							Gold, Silver		http://www.metmuseum.org/art/collection/search/256977	Metropolitan Museum of Art, New York, NY
1989.281.49, .50	True	Greek and Roman Art	Helmets, 2	Two bronze helmets	Greek, Cretan									late 7th century B.C.	-650	-600	Bronze	"H. (1989.281.49): 9 5/8 in. (24.5 cm)
H. (1989.281.50): 8 1/4 in. (21 cm)"	Gift of Norbert Schimmel Trust, 1989							Bronzes		http://www.metmuseum.org/art/collection/search/256978	Metropolitan Museum of Art, New York, NY
2000.277	True	Greek and Roman Art	Situla	Glass situla (bucket) with silver handles	Greek									late 4th–early 3rd century B.C.	-325	-275	Glass with silver handles	10 1/2 x 8 x 6 3/4in. (26.7 x 20.3 x 17.1cm)	Purchase, The Bernard and Audrey Aronson Charitable Trust Gift, in memory of her beloved husband, Bernard Aronson, 2000							Glass		http://www.metmuseum.org/art/collection/search/257511	Metropolitan Museum of Art, New York, NY
2002.66	True	Greek and Roman Art	Head of a Ptolemaic queen	Marble head of a Ptolemaic queen	Greek									ca. 270–250 B.C.	-275	-250	Marble	H. 15 in. (38.1 cm)	Purchase, Lila Acheson Wallace Gift, The Bothmer Purchase Fund, Malcolm Hewitt Wiener, The Concordia Foundation and Christos G. Bastis Gifts and Marguerite and Frank A. Cosgrove Jr. Fund, 2002							Stone Sculpture		http://www.metmuseum.org/art/collection/search/257603	Metropolitan Museum of Art, New York, NY
2003.407.8a, b	True	Greek and Roman Art	Statue of a young man, half-draped	Marble statue of a member of the imperial family	Roman									27 B.C.–A.D. 68	-27	68	Marble	"H. 47 in. (199.38 cm)
Width: 24 1/2 in. (62.23 cm)
Depth: 16 in. (40.63 cm)"	Bequest of Bill Blass, 2002							Stone Sculpture		http://www.metmuseum.org/art/collection/search/257640	Metropolitan Museum of Art, New York, NY
2012.479.2	True	Greek and Roman Art	Flask, snake-thread mouse-shaped	Glass snake-thread flask shaped like a mouse	Roman									3rd century A.D.	200	299	Glass, blue	"Other: 2 1/2 x 2 x 5 3/4 in. (6.3 x 5.1 x 14.6 cm)
Diameter: 1 1/16 in. (2.7 cm)"	Gift of Renée E. and Robert A. Belfer, 2012							Glass		http://www.metmuseum.org/art/collection/search/257875	Metropolitan Museum of Art, New York, NY
2012.479.7	True	Greek and Roman Art	Oinochoe	Glass oinochoe	Greek									mid-4th–early 3rd century B.C.	0	-4	Glass	"Other (H. w/ handles): 8 1/4 in. (20.9 cm)
Height: 7 11/16 in. (19.6 cm)
Diameter: 4 3/16 x 2 15/16 in. (10.7 x 7.4 cm)
Other (length & width of rim): 1 7/8 x 2 9/16 in. (4.8 x 6.5 cm)"	Gift of Renée E. and Robert A. Belfer, 2012							Glass		http://www.metmuseum.org/art/collection/search/257880	Metropolitan Museum of Art, New York, NY
1970.727.1	True	Photographs	Photograph	11:00 A.M. Monday, May 9th, 1910. Newsies at Skeeter's Branch, Jefferson near Franklin. They were all smoking. Location: St. Louis, Missouri.		Artist		Lewis Hine		Hine, Lewis	American	1874	1940	1910-05-09 00:00:00	1910	1910	Gelatin silver print	9.1 x 11.9 cm (3 9/16 x 4 11/16 in.)	Gift of Phyllis D. Massar, 1970							Photographs		http://www.metmuseum.org/art/collection/search/259797	Metropolitan Museum of Art, New York, NY
1976.646	True	Photographs	Photograph	[The Great Wave, Sète]		Artist		Gustave Le Gray		Le Gray, Gustave	French	1820	1884	1857	1857	1857	Albumen silver print from glass negative	33.7 x 41.4 cm (13 1/4 x 16 5/16 in.)	Gift of John Goldsmith Phillips, 1976							Photographs		http://www.metmuseum.org/art/collection/search/261941	Metropolitan Museum of Art, New York, NY
1979.622	True	Photographs	Photograph	View on the Columbia, Cascades		Artist		Carleton E. Watkins		Watkins, Carleton E.	American	1829	1916	1867	1867	1867	Albumen silver print from glass negative	40.0 x 52.4 cm (15 3/4 x 20 5/8 in.)	Warner Communications Inc. Purchase Fund and Harris Brisbane Dick Fund, 1979							Photographs		http://www.metmuseum.org/art/collection/search/262612	Metropolitan Museum of Art, New York, NY
1980.1023.5	False	Photographs	Photograph	Couple d'amoureux dans un petit café, quartier Italie		Artist		Brassaï		Brassaï	French, born Romania (Transylvania)	1899	1984	ca. 1932, printed mid-1960s	1930	1934	Gelatin silver print	28.3 x 22.7 cm (11 1/8 x 8 15/16 in.)	Warner Communications Inc. Purchase Fund, 1980							Photographs	Photograph by Brassaï.  © Gilberte Brassaï.	http://www.metmuseum.org/art/collection/search/262720	Metropolitan Museum of Art, New York, NY
1986.1053.1	False	Photographs	Photograph	Campden Hill, London		Artist		Bill Brandt		Brandt, Bill	British, born Germany	1904	1983	1949-04-01 00:00:00	1949	1949	Gelatin silver print	24.1 x 19.7 cm (9 1/2 x 7 3/4 in.)	Purchase, Joseph Pulitzer Bequest, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, and The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1986							Photographs	© Bill Brandt / Bill Brandt Archive Ltd.	http://www.metmuseum.org/art/collection/search/264688	Metropolitan Museum of Art, New York, NY
1986.1054.19	True	Photographs	Photograph	Black Cañon, From Camp 8, Looking Above		Artist		Timothy H. O'Sullivan		O'Sullivan, Timothy H.	American, born Ireland	1840	1882	1871	1871	1871	Albumen silver print from glass negative	20 x 28.1 cm (7 7/8 x 11 1/16 in. )	Purchase, Joseph Pulitzer Bequest and The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel, 1986							Photographs		http://www.metmuseum.org/art/collection/search/264711	Metropolitan Museum of Art, New York, NY
1986.1225.2	False	Photographs	Postcard	[A Corner of Mondrian's Studio with Bed, Stool, Curtain, and Mirrors]		Artist		André Kertész		Kertész, André	American, born Hungary	1894	1985	1926	1926	1926	Gelatin silver print	10.9 x 8 cm (4 5/16 x 3 1/8 in.)	Gift of Harry Holtzman, 1986							Photographs	© The Estate of André Kertész / Higher Pictures	http://www.metmuseum.org/art/collection/search/265047	Metropolitan Museum of Art, New York, NY
1987.1100.1	False	Photographs	Photograph	Criss-Crossed Conveyors, River Rouge Plant, Ford Motor Company		Artist		Charles Sheeler		Sheeler, Charles	American	1883	1965	1927	1927	1927	Gelatin silver print	23.5 x 18.8 cm (9 1/4 x 7 3/8 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© The Lane Collection	http://www.metmuseum.org/art/collection/search/265132	Metropolitan Museum of Art, New York, NY
1987.1100.10	False	Photographs	Photograph	Abstraction, Twin Lakes, Connecticut		Artist		Paul Strand		Strand, Paul	American	1890	1976	1916	1916	1916	Silver-platinum print	32.8 x 24.4 cm (12 15/16 x 9 5/8 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	©1997, Aperture Foundation Inc., Paul Strand Archive.	http://www.metmuseum.org/art/collection/search/265133	Metropolitan Museum of Art, New York, NY
1987.1100.13	False	Photographs	Photograph	The Octopus		Artist		Alvin Langdon Coburn		Coburn, Alvin Langdon	British, born United States	1882	1966	1912	1912	1912	Platinum print	41.8 x 31.8 cm (16 7/16 x 12 1/2 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs		http://www.metmuseum.org/art/collection/search/265166	Metropolitan Museum of Art, New York, NY
1987.1100.384	False	Photographs	Photograph	Fifth Avenue, Nos. 4, 6, 8		Artist		Berenice Abbott		Abbott, Berenice	American	1898	1991	1936	1936	1936	Gelatin silver print	19.2 x 24.4 cm (7 9/16  x 9 5/8  in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© Berenice Abbott / Commerce Graphics Ltd. Inc.	http://www.metmuseum.org/art/collection/search/265447	Metropolitan Museum of Art, New York, NY
1987.1100.40	False	Photographs	Photograph	Compass		Artist		Man Ray		Man Ray	American	1890	1976	1920	1920	1920	Gelatin silver print	11.7 x 8.6 cm (4 5/8 x 3 3/8 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© 2017 Artists Rights Society (ARS), New York	http://www.metmuseum.org/art/collection/search/265465	Metropolitan Museum of Art, New York, NY
1987.1100.47	True	Photographs	Photograph	Runner in the City		Artist		El Lissitzky		Lissitzky, El	Russian	1890	1941	ca. 1926	1924	1928	Gelatin silver print	13.1 x 12.8 cm (5 3/16 x 5 1/16 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs, Collages		http://www.metmuseum.org/art/collection/search/265543	Metropolitan Museum of Art, New York, NY
1987.1100.476	False	Photographs	Photograph	Clemens Röseler		Artist		T. Lux Feininger		Feininger, T. Lux	American, born Germany	1910	2011	ca. 1928	1926	1930	Gelatin silver print	11.3 x 8.9 cm (4 7/16 x 3 1/2 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs		http://www.metmuseum.org/art/collection/search/265550	Metropolitan Museum of Art, New York, NY
1987.1100.48	False	Photographs	Photograph	Poughkeepsie, New York		Artist		André Kertész		Kertész, André	American, born Hungary	1894	1985	1937	1937	1937	Gelatin silver print	23.6 x 18.3 cm (9 5/16 x 7 3/16 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© The Estate of André Kertész / Higher Pictures	http://www.metmuseum.org/art/collection/search/265553	Metropolitan Museum of Art, New York, NY
1987.1100.482	True	Photographs	Photograph	Penny Picture Display, Savannah		Artist		Walker Evans		Evans, Walker	American	1903	1975	1936	1936	1936	Gelatin silver print	24.7 x 19.3 cm (9 3/4 x 7 5/8 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs		http://www.metmuseum.org/art/collection/search/265556	Metropolitan Museum of Art, New York, NY
1987.1100.49	False	Photographs	Photograph	[Mystery of the Street]		Artist		Umbo (Otto Umbehr)		Umbo (Otto Umbehr)	German	1902	1980	1928	1928	1928	Gelatin silver print	29 x 23.5 cm (11 7/16 x 9 1/4 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© Galerie Rudolf Kicken, Cologne and Phyllis Umbehr, Frankfurt/M.	http://www.metmuseum.org/art/collection/search/265563	Metropolitan Museum of Art, New York, NY
1987.1100.87	False	Photographs	Photograph	Gambler, French Riviera		Artist		Lisette Model		Model, Lisette	American, born Austria	1901	1983	1937	1937	1937	Gelatin silver print	28.7 x 23.2 cm (11 5/16 x 9 1/8 in.)	Ford Motor Company Collection, Gift of Ford Motor Company and John C. Waddell, 1987							Photographs	© The Lisette Model Foundation, Inc.	http://www.metmuseum.org/art/collection/search/265616	Metropolitan Museum of Art, New York, NY
1987.1161	True	Photographs	Photograph	[Flower Study, Rose of Sharon]		Artist		Adolphe Braun		Braun, Adolphe	French	1811	1877	ca. 1854	1852	1856	Albumen silver print from glass negative	37.5 x 41.9 cm (14 3/4 x 16 1/2 in.)	Gift of Gilman Paper Company, in memory of Samuel J. Wagstaff Jr., 1987							Photographs		http://www.metmuseum.org/art/collection/search/265726	Metropolitan Museum of Art, New York, NY
1988.103	False	Photographs	Photograph	Kitchen Corner, Tenant Farmhouse, Hale County, Alabama		Artist		Walker Evans		Evans, Walker	American	1903	1975	1936	1936	1936	Gelatin silver print	"Image: 7 11/16 × 6 5/16 in. (19.5 × 16.1 cm)
Mount: 7 11/16 × 6 5/16 in. (19.5 × 16.1 cm)"	Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1988							Photographs	© Walker Evans Archive, The Metropolitan Museum of Art	http://www.metmuseum.org/art/collection/search/265903	Metropolitan Museum of Art, New York, NY
1988.1031	True	Photographs	Photograph	[Fontainebleau Forest]		Artist		Eugène Cuvelier		Cuvelier, Eugène	French	1837	1900	early 1860s	1860	1864	Salted paper print from paper negative	19.8 x 25.8 cm (7 13/16 x 10 3/16 in.)	Purchase, The Howard Gilman Foundation and Joyce and Robert Menschel Gifts, 1988							Photographs		http://www.metmuseum.org/art/collection/search/265904	Metropolitan Museum of Art, New York, NY
1989.1038.2	False	Photographs	Photograph	New York		Artist		William Klein		Klein, William	American	1928	2028	1954	1954	1954	Gelatin silver print	37.5 x 27.9 cm (14 3/4 x 11 in.)	Purchase, Joyce and Robert Menschel Gift, 1989							Photographs	© William Klein / Courtesy Howard Greenberg Gallery, NYC	http://www.metmuseum.org/art/collection/search/266102	Metropolitan Museum of Art, New York, NY
1989.1063	True	Photographs	Photograph	Medinet-Habu		Artist		John Beasley Greene		Greene, John Beasley	American	1832	1856	1854	1854	1854	Salted paper print from paper negative	23.4 x 30.1 cm (9 3/16 x 11 7/8 in.)	Purchase, The Howard Gilman Foundation Gift, 1989							Photographs		http://www.metmuseum.org/art/collection/search/266121	Metropolitan Museum of Art, New York, NY
1989.1083	True	Photographs	Photograph	The Town on the Hill, New Almaden		Artist		Carleton E. Watkins		Watkins, Carleton E.	American	1829	1916	1863	1863	1863	Albumen silver print from glass negative	39.7 x 52.3 cm (15 5/8 x 20 9/16 in.)	Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1989							Photographs		http://www.metmuseum.org/art/collection/search/266133	Metropolitan Museum of Art, New York, NY
1989.1135	False	Photographs	Photograph	Rebecca, New York		Artist		Paul Strand		Strand, Paul	American	1890	1976	ca. 1923	1921	1925	Palladium print	19.4 x 24.6 cm (7 5/8 x 9 11/16 in.)	Gift of Marilyn Walter Grounds, 1989							Photographs	© 1997 Aperture Foundation Inc., Paul Strand Archive.	http://www.metmuseum.org/art/collection/search/266162	Metropolitan Museum of Art, New York, NY
1990.1005	False	Photographs	Photograph	The Road West		Artist		Dorothea Lange		Lange, Dorothea	American	1895	1965	1938	1938	1938	Gelatin silver print	17.3 x 24 cm (6 13/16 x 9 7/16 in.)	Purchase, The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel and Harriette and Noel Levine Gift, 1990							Photographs		http://www.metmuseum.org/art/collection/search/266199	Metropolitan Museum of Art, New York, NY
1990.1083	False	Photographs	Photograph	Port Authority		Artist		Ray K. Metzker		Metzker, Ray K.	American	1931	2014	1966–67	1966	1967	Gelatin silver print	106.4 x 111.4 cm (41 7/8 x 43 7/8 in.)	Purchase, Stewart S. MacDermott Fund, Nancy and Edwin Marks Gift, Mary Martin Fund, Joyce and Robert Menschel Gift, and The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel, 1990							Photographs	© Ray K. Metzker	http://www.metmuseum.org/art/collection/search/266262	Metropolitan Museum of Art, New York, NY
1990.113	True	Photographs	Photograph	[Large Figures on the North Porch, Chartres Cathedral]		Artist		Henri-Jean-Louis Le Secq		Le Secq, Henri-Jean-Louis	French	1818	1882	1852	1852	1852	Salted paper print from paper negative	32.8 x 22.1 cm (12 15/16 x 8 11/16 in.)	Purchase, The Howard Gilman Foundation and Harriette and Noel Levine Gifts, Samuel J. Wagstaff Jr. Bequest, and Rogers Fund, 1990							Photographs		http://www.metmuseum.org/art/collection/search/266284	Metropolitan Museum of Art, New York, NY
1991.1044	True	Photographs	Photograph	Alfred Thompson Gobert		Artist		Louis-Rémy Robert		Robert, Louis-Rémy	French	1810	1882	1849–55	1849	1855	Salted paper print from paper negative	22.6 x 16.8 cm (8 7/8 x 6 5/8 in.)	Purchase, Joyce and Robert Menschel, Mrs. Harrison D. Horblit and Paul F. Walter Gifts, and Rogers Fund, 1991							Photographs		http://www.metmuseum.org/art/collection/search/266332	Metropolitan Museum of Art, New York, NY
1991.1056	False	Photographs	Photograph	Call		Artist		Otto Steinert		Steinert, Otto	German	1915	1978	1950	1950	1950	Gelatin silver print	60 x 46.8 cm (23 5/8 x 18 7/16 in.)	Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1991							Photographs	© Marlis Steinert, Thônex	http://www.metmuseum.org/art/collection/search/266349	Metropolitan Museum of Art, New York, NY
1991.1127	False	Photographs	Photogram	Now!		Artist		Adam Fuss		Fuss, Adam	British	1961	1961	1988	1988	1988	Gelatin silver print	"169.5 x 129.5cm (66 3/4 x 51in.)
Frame: 177.2 × 137.2 cm (69 3/4 × 54 in.)"	Purchase, The Horace W. Goldsmith Foundation Gift, through Joyce and Robert Menschel, 1991							Photographs	© Adam Fuss	http://www.metmuseum.org/art/collection/search/266427	Metropolitan Museum of Art, New York, NY
1991.1198	True	Photographs	Photograph	Eugène Pelletan		Artist		Nadar		Nadar	French	1820	1910	1855–59	1855	1859	Salted paper print from glass negative	23.5 x 17.6 cm (9 1/4 x 6 15/16 in.)	Purchase, The Howard Gilman Foundation Gift and Rogers Fund, 1991							Photographs		http://www.metmuseum.org/art/collection/search/266480	Metropolitan Museum of Art, New York, NY
