accession_number,public_domain,department,object_name,title,Artist Role,Artist Prefix,Artist Display Name,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Object Date,object_begin_date,object_end_date,acquisition_type,acquisition_date,city,country,region,classification,rights,web_link,Repository,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.11.6,TRUE,Greek and Roman Art,Amphora Type A,Terracotta amphora (jar),,,,,,,,,ca. 530 B.C.,-530,-530,Purchase Joseph Pulitzer Bequest,1963,,,,Vases,,http://www.metmuseum.org/art/collection/search/255154,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.148,TRUE,Greek and Roman Art,Statuette of a woman,Marble female figure,,,,,,,,,2600–2400 B.C.,-2600,-2400,Gift of Christos G. Bastis,1968,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/255275,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.11.1,TRUE,Greek and Roman Art,Statuette of an artisan hunchback,Bronze statuette of an artisan with silver eyes,,,,,,,,,ca. mid-1st century B.C.,-60,-40,Rogers Fund,1972,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/255344,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.118.54,TRUE,Greek and Roman Art,Head of a griffin from a cauldron,Bronze head of a griffin,,Attributed to the,Achilles Painter,,Achilles Painter,,,,third quarter of the 7th century B.C.,-675,-625,Bequest of Walter C. Baker,1971,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/255367,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.118.78,TRUE,Greek and Roman Art,Mirror with a support in the form of a draped woman,Bronze mirror with a support in the form of a draped woman,,Restored by,"Pacetti, Vincenzo",,"Pacetti, Vincenzo",,,,mid-5th century B.C.,-460,-450,Bequest of Walter C. Baker,1971,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/255391,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.118.95,TRUE,Greek and Roman Art,Statuette of a veiled and masked dancer,Bronze statuette of a veiled and masked dancer,,,,,,,,,3rd–2nd century B.C.,-299,-100,Bequest of Walter C. Baker,1971,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/255408,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972.118.104,TRUE,Greek and Roman Art,Statuette of a woman steatopygous,Marble female figure,,,,,,,,,4500–4000 B.C.,-4999,-4000,Bequest of Walter C. Baker,1971,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/255417,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.281.72,TRUE,Greek and Roman Art,Lekythos,Terracotta lekythos (oil flask),,,,,,,,,ca. 440 B.C.,-440,-440,Gift of Norbert Schimmel Trust,1989,,,,Vases,,http://www.metmuseum.org/art/collection/search/255949,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.247,TRUE,Greek and Roman Art,"Statue of Dionysos leaning on a female figure (""Hope Dionysos"")","Statue of Dionysos leaning on a female figure (""Hope Dionysos"")",,,,,,,,,27 B.C.–A.D. 68,-27,68,Gift of The Frederick W. Richmond Foundation Judy and Michael Steinhardt and Mr. and Mrs. A. Alfred Taubman,1990,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/255973,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1994.43.1, .2",TRUE,Greek and Roman Art,Skyphoi with Erotes pair,Pair of silver scyphi (cups) with relief decoration,,,,,,,,,late 1st century B.C.–early 1st century A.D.,-50,50,Purchase Marguerite and Frank A. Cosgrove Jr. Fund and Lila Acheson Wallace Gift,1994,,,,Gold Silver,,http://www.metmuseum.org/art/collection/search/256184,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995.19,TRUE,Greek and Roman Art,Shell,Marble shell,,,,,,,,,ca. 400 B.C.,-450,-400,Purchase Mr. and Mrs. John Moscahlaidis Gift,1995,,,,Miscellaneous Stone Miscellaneous Stone Vases,,http://www.metmuseum.org/art/collection/search/256205,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010.26,TRUE,Greek and Roman Art,Statue group of the Three Graces,Marble Statue Group of the Three Graces,,Attributed to the,Polyteleia Painter,,Polyteleia Painter,,,,2nd century A.D.,100,199,Purchase Philodoroi Lila Acheson Wallace Mary and Michael Jaharis Annette and Oscar de la Renta Leon Levy Foundation The Robert A. and Renée E. Belfer Family Foundation Mr. and Mrs. John A. Moran Jeannette and Jonathan Rosen Malcolm Hewitt Wiener Foundation and Nicholas S. Zoullas Gifts,2010,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/256403,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004.363.1,TRUE,Greek and Roman Art,Kernos,Terracotta kernos (vase for multiple offerings),,,,,,,,,ca. 2300–2200 B.C.,-2300,-2200,Purchase The Annenberg Foundation Gift,2004,,,,Vases,,http://www.metmuseum.org/art/collection/search/256548,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.145.3,TRUE,Greek and Roman Art,Plaque of Mithras killing the bull,Bronze plaque of Mithras slaying the bull,,,,,,,,,mid-2nd–early 3rd century A.D.,130,220,Gift of Mr. and Mrs. Klaus G. Perls,1997,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256570,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.36,TRUE,Greek and Roman Art,Dinos,Terracotta dinos (mixing bowl),,,,,,,,,ca. 630–615 B.C.,-630,-615,The Bothmer Purchase Fund and Louis V. Bell Fund,1997,,,,Vases,,http://www.metmuseum.org/art/collection/search/256846,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997.145.1,TRUE,Greek and Roman Art,Tripod,Bronze rod tripod stand,,,,,,,,,early 6th century B.C.,-599,-575,Gift of Mr. and Mrs. Klaus G. Perls,1997,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256861,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999.209,TRUE,Greek and Roman Art,Armband,Gold armband with Herakles knot,,,,,,,,,3rd–2nd century B.C.,-299,-100,Purchase Mr. and Mrs. Christos G. Bastis Gift,1999,,,,Gold Silver,,http://www.metmuseum.org/art/collection/search/256970,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"11.185a–d, f, g, x",TRUE,Greek and Roman Art,Grave stele of a youth and a little girl with finial in the form of a sphinx,Marble stele (grave marker) of a youth and little girl with capital and finial in the form of a sphinx,,,,,,,,,ca. 530 B.C.,-530,-530,Frederick C. Hewitt Fund 1911; Rogers Fund 1921; Munsey Funds1936 1938; and Anonymous Gift,1951,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/256974,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37.11.8–.17,TRUE,Greek and Roman Art,Ganymede Jewelry,Ganymede jewelry,,,,,,,,,ca. 330–300 B.C.,-330,-300,Harris Brisbane Dick Fund,1937,,,,Gold Silver,,http://www.metmuseum.org/art/collection/search/256975,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40.11.7–.18,TRUE,Greek and Roman Art,Set of jewelry,Set of jewelry,,,,,,,,,early 5th century B.C.,-499,-475,Harris Brisbane Dick Fund,1940,,,,Gold Silver,,http://www.metmuseum.org/art/collection/search/256976,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989.281.45a, b–.48",TRUE,Greek and Roman Art,Vases group of four,Group of four vases,,,,,,,,,ca. 2300–2000 B.C.,-2300,-2000,Gift of Norbert Schimmel Trust,1989,,,,Gold Silver,,http://www.metmuseum.org/art/collection/search/256977,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1989.281.49, .50",TRUE,Greek and Roman Art,Helmets 2,Two bronze helmets,,,,,,,,,late 7th century B.C.,-650,-600,Gift of Norbert Schimmel Trust,1989,,,,Bronzes,,http://www.metmuseum.org/art/collection/search/256978,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000.277,TRUE,Greek and Roman Art,Situla,Glass situla (bucket) with silver handles,,,,,,,,,late 4th–early 3rd century B.C.,-325,-275,Purchase The Bernard and Audrey Aronson Charitable Trust Gift in memory of her beloved husband Bernard Aronson,2000,,,,Glass,,http://www.metmuseum.org/art/collection/search/257511,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002.66,TRUE,Greek and Roman Art,Head of a Ptolemaic queen,Marble head of a Ptolemaic queen,,,,,,,,,ca. 270–250 B.C.,-275,-250,Purchase Lila Acheson Wallace Gift The Bothmer Purchase Fund Malcolm Hewitt Wiener The Concordia Foundation and Christos G. Bastis Gifts and Marguerite and Frank A. Cosgrove Jr. Fund,2002,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/257603,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2003.407.8a, b",TRUE,Greek and Roman Art,Statue of a young man half-draped,Marble statue of a member of the imperial family,Artist,,Lewis Hine,,"Hine, Lewis",American,1874,1940,27 B.C.–A.D. 68,-27,68,Bequest of Bill Blass,2002,,,,Stone Sculpture,,http://www.metmuseum.org/art/collection/search/257640,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.479.2,TRUE,Greek and Roman Art,Flask snake-thread mouse-shaped,Glass snake-thread flask shaped like a mouse,Artist,,Gustave Le Gray,,"Le Gray, Gustave",French,1820,1884,3rd century A.D.,200,299,Gift of Renée E. and Robert A. Belfer,2012,,,,Glass,,http://www.metmuseum.org/art/collection/search/257875,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012.479.7,TRUE,Greek and Roman Art,Oinochoe,Glass oinochoe,Artist,,Carleton E. Watkins,,"Watkins, Carleton E.",American,1829,1916,mid-4th–early 3rd century B.C.,0,-4,Gift of Renée E. and Robert A. Belfer,2012,,,,Glass,,http://www.metmuseum.org/art/collection/search/257880,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970.727.1,TRUE,Photographs,Photograph,11:00 A.M. Monday May 9th 1910. Newsies at Skeeter's Branch Jefferson near Franklin. They were all smoking. Location: St. Louis Missouri.,Artist,,Brassaï,,Brassaï,"French, born Romania (Transylvania)",1899,1984,9-May-10,1910,1910,Gift of Phyllis D. Massar,1970,,,,Photographs,,http://www.metmuseum.org/art/collection/search/259797,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.646,TRUE,Photographs,Photograph,[The Great Wave Sète],Artist,,Bill Brandt,,"Brandt, Bill","British, born Germany",1904,1983,1857,1857,1857,Gift of John Goldsmith Phillips,1976,,,,Photographs,,http://www.metmuseum.org/art/collection/search/261941,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979.622,TRUE,Photographs,Photograph,View on the Columbia Cascades,Artist,,Timothy H. O'Sullivan,,"O'Sullivan, Timothy H.","American, born Ireland",1840,1882,1867,1867,1867,Warner Communications Inc. Purchase Fund and Harris Brisbane Dick Fund,1979,,,,Photographs,,http://www.metmuseum.org/art/collection/search/262612,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980.1023.5,FALSE,Photographs,Photograph,Couple d'amoureux dans un petit café quartier Italie,Artist,,André Kertész,,"Kertész, André","American, born Hungary",1894,1985,ca. 1932 printed mid-1960s,1930,1934,Warner Communications Inc. Purchase Fund,1980,,,,Photographs,Photograph by Brassaï.  © Gilberte Brassaï.,http://www.metmuseum.org/art/collection/search/262720,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.1053.1,FALSE,Photographs,Photograph,Campden Hill London,Artist,,Charles Sheeler,,"Sheeler, Charles",American,1883,1965,Apr-49,1949,1949,Purchase Joseph Pulitzer Bequest The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel and The Elisha Whittelsey Collection The Elisha Whittelsey Fund,1986,,,,Photographs,© Bill Brandt / Bill Brandt Archive Ltd.,http://www.metmuseum.org/art/collection/search/264688,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.1054.19,TRUE,Photographs,Photograph,Black Cañon From Camp 8 Looking Above,Artist,,Paul Strand,,"Strand, Paul",American,1890,1976,1871,1871,1871,Purchase Joseph Pulitzer Bequest and The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1986,,,,Photographs,,http://www.metmuseum.org/art/collection/search/264711,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986.1225.2,FALSE,Photographs,Postcard,[A Corner of Mondrian's Studio with Bed Stool Curtain and Mirrors],Artist,,Alvin Langdon Coburn,,"Coburn, Alvin Langdon","British, born United States",1882,1966,1926,1926,1926,Gift of Harry Holtzman,1986,,,,Photographs,© The Estate of André Kertész / Higher Pictures,http://www.metmuseum.org/art/collection/search/265047,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.1,FALSE,Photographs,Photograph,Criss-Crossed Conveyors River Rouge Plant Ford Motor Company,Artist,,Berenice Abbott,,"Abbott, Berenice",American,1898,1991,1927,1927,1927,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© The Lane Collection,http://www.metmuseum.org/art/collection/search/265132,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.10,FALSE,Photographs,Photograph,Abstraction Twin Lakes Connecticut,Artist,,Man Ray,,Man Ray,American,1890,1976,1916,1916,1916,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,©1997 Aperture Foundation Inc. Paul Strand Archive.,http://www.metmuseum.org/art/collection/search/265133,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.13,FALSE,Photographs,Photograph,The Octopus,Artist,,El Lissitzky,,"Lissitzky, El",Russian,1890,1941,1912,1912,1912,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,,http://www.metmuseum.org/art/collection/search/265166,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.384,FALSE,Photographs,Photograph,Fifth Avenue Nos. 46 8,Artist,,T. Lux Feininger,,"Feininger, T. Lux","American, born Germany",1910,2011,1936,1936,1936,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© Berenice Abbott / Commerce Graphics Ltd. Inc.,http://www.metmuseum.org/art/collection/search/265447,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.40,FALSE,Photographs,Photograph,Compass,Artist,,André Kertész,,"Kertész, André","American, born Hungary",1894,1985,1920,1920,1920,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© 2017 Artists Rights Society (ARS) New York,http://www.metmuseum.org/art/collection/search/265465,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.47,TRUE,Photographs,Photograph,Runner in the City,Artist,,Walker Evans,,"Evans, Walker",American,1903,1975,ca. 1926,1924,1928,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs Collages,,http://www.metmuseum.org/art/collection/search/265543,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.476,FALSE,Photographs,Photograph,Clemens Röseler,Artist,,Umbo (Otto Umbehr),,Umbo (Otto Umbehr),German,1902,1980,ca. 1928,1926,1930,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,,http://www.metmuseum.org/art/collection/search/265550,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.48,FALSE,Photographs,Photograph,Poughkeepsie New York,Artist,,Lisette Model,,"Model, Lisette","American, born Austria",1901,1983,1937,1937,1937,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© The Estate of André Kertész / Higher Pictures,http://www.metmuseum.org/art/collection/search/265553,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.482,TRUE,Photographs,Photograph,Penny Picture Display Savannah,Artist,,Adolphe Braun,,"Braun, Adolphe",French,1811,1877,1936,1936,1936,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,,http://www.metmuseum.org/art/collection/search/265556,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.49,FALSE,Photographs,Photograph,[Mystery of the Street],Artist,,Walker Evans,,"Evans, Walker",American,1903,1975,1928,1928,1928,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© Galerie Rudolf Kicken Cologne and Phyllis Umbehr Frankfurt/M.,http://www.metmuseum.org/art/collection/search/265563,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1100.87,FALSE,Photographs,Photograph,Gambler French Riviera,Artist,,Eugène Cuvelier,,"Cuvelier, Eugène",French,1837,1900,1937,1937,1937,Ford Motor Company Collection Gift of Ford Motor Company and John C. Waddell,1987,,,,Photographs,© The Lisette Model Foundation Inc.,http://www.metmuseum.org/art/collection/search/265616,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987.1161,TRUE,Photographs,Photograph,[Flower Study Rose of Sharon],Artist,,William Klein,,"Klein, William",American,1928,2028,ca. 1854,1852,1856,Gift of Gilman Paper Company in memory of Samuel J. Wagstaff Jr.,1987,,,,Photographs,,http://www.metmuseum.org/art/collection/search/265726,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.103,FALSE,Photographs,Photograph,Kitchen Corner Tenant Farmhouse Hale County Alabama,Artist,,John Beasley Greene,,"Greene, John Beasley",American,1832,1856,1936,1936,1936,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1988,,,,Photographs,© Walker Evans Archive The Metropolitan Museum of Art,http://www.metmuseum.org/art/collection/search/265903,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988.1031,TRUE,Photographs,Photograph,[Fontainebleau Forest],Artist,,Carleton E. Watkins,,"Watkins, Carleton E.",American,1829,1916,early 1860s,1860,1864,Purchase The Howard Gilman Foundation and Joyce and Robert Menschel Gifts,1988,,,,Photographs,,http://www.metmuseum.org/art/collection/search/265904,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.1038.2,FALSE,Photographs,Photograph,New York,Artist,,Paul Strand,,"Strand, Paul",American,1890,1976,1954,1954,1954,Purchase Joyce and Robert Menschel Gift,1989,,,,Photographs,© William Klein / Courtesy Howard Greenberg Gallery NYC,http://www.metmuseum.org/art/collection/search/266102,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.1063,TRUE,Photographs,Photograph,Medinet-Habu,Artist,,Dorothea Lange,,"Lange, Dorothea",American,1895,1965,1854,1854,1854,Purchase The Howard Gilman Foundation Gift,1989,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266121,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.1083,TRUE,Photographs,Photograph,The Town on the Hill New Almaden,Artist,,Ray K. Metzker,,"Metzker, Ray K.",American,1931,2014,1863,1863,1863,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1989,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266133,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989.1135,FALSE,Photographs,Photograph,Rebecca New York,Artist,,Henri-Jean-Louis Le Secq,,"Le Secq, Henri-Jean-Louis",French,1818,1882,ca. 1923,1921,1925,Gift of Marilyn Walter Grounds,1989,,,,Photographs,© 1997 Aperture Foundation Inc. Paul Strand Archive.,http://www.metmuseum.org/art/collection/search/266162,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.1005,FALSE,Photographs,Photograph,The Road West,Artist,,Louis-Rémy Robert,,"Robert, Louis-Rémy",French,1810,1882,1938,1938,1938,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel and Harriette and Noel Levine Gift,1990,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266199,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.1083,FALSE,Photographs,Photograph,Port Authority,Artist,,Otto Steinert,,"Steinert, Otto",German,1915,1978,1966–67,1966,1967,Purchase Stewart S. MacDermott Fund Nancy and Edwin Marks Gift Mary Martin Fund Joyce and Robert Menschel Gift and The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1990,,,,Photographs,© Ray K. Metzker,http://www.metmuseum.org/art/collection/search/266262,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990.113,TRUE,Photographs,Photograph,[Large Figures on the North Porch Chartres Cathedral],Artist,,Adam Fuss,,"Fuss, Adam",British,1961,1961,1852,1852,1852,Purchase The Howard Gilman Foundation and Harriette and Noel Levine Gifts Samuel J. Wagstaff Jr. Bequest and Rogers Fund,1990,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266284,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1044,TRUE,Photographs,Photograph,Alfred Thompson Gobert,Artist,,Nadar,,Nadar,French,1820,1910,1849–55,1849,1855,Purchase Joyce and Robert Menschel Mrs. Harrison D. Horblit and Paul F. Walter Gifts and Rogers Fund,1991,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266332,"Metropolitan Museum of Art New York NY""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1056,FALSE,Photographs,Photograph,Call,Artist,,August Sander,,"Sander, August",German,1876,1964,1950,1950,1950,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1991,,,,Photographs,© Marlis Steinert Thônex,http://www.metmuseum.org/art/collection/search/266349,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1127,FALSE,Photographs,Photogram,Now!,Artist,,Eugène Atget,,"Atget, Eugène",French,1857-02-02,8/4/1927,1988,1988,1988,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1991,,,,Photographs,© Adam Fuss,http://www.metmuseum.org/art/collection/search/266427,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1198,TRUE,Photographs,Photograph,Eugène Pelletan,Artist,,Édouard Baldus,,"Baldus, Édouard","French, born Prussia",1813,1889,1855–59,1855,1859,Purchase The Howard Gilman Foundation Gift and Rogers Fund,1991,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266480,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1232,FALSE,Photographs,Photograph,Arbeitslos,Artist,,Gordon Matta-Clark,,"Matta-Clark, Gordon",American,1943,1978,1928,1928,1928,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel and Samuel J. Wagstaff Jr. Bequest,1991,,,,Photographs,© 2017 Artists Rights Society (ARS) New York,http://www.metmuseum.org/art/collection/search/266537,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991.1233,TRUE,Photographs,Photograph,15 rue Maître-Albert,Artist,,Garry Winogrand,,"Winogrand, Garry",American,1928,1984,1912,1912,1912,Rogers Fund,1991,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266538,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.5,TRUE,Photographs,Photograph,[Entrance to the Port of Boulogne],Artist,,Cindy Sherman,,"Sherman, Cindy",American,1954,2054,1855,1855,1855,Purchase Louis V. Bell Fund,1992,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266644,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.5067,FALSE,Photographs,Photograph,Splitting,Artist,,Edward J. Steichen,,"Steichen, Edward J.","American, born Luxembourg",1879,1973,1974,1974,1974,Purchase The Horace W. Goldsmith Foundation Gift through Joyce and Robert Menschel,1992,,,,Photographs,© 2017 Estate of Gordon Matta-Clark / Artists Rights Society (ARS) New York,http://www.metmuseum.org/art/collection/search/266709,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992.5107,FALSE,Photographs,Photograph,El Morocco New York,Artist,,Eugène Atget,,"Atget, Eugène",French,1857-02-02,8/4/1927,1955,1955,1955,Purchase The Horace W. Goldsmith Foundation Gift,1992,,,,Photographs,© The Estate of Garry Winogrand courtesy Fraenkel Gallery San Francisco,http://www.metmuseum.org/art/collection/search/266746,Metropolitan Museum of Art New York NY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
